center,left,right,steering,throttle,brake,speed
data/IMG/center_2016_12_01_13_32_43_457.jpg,data/IMG/left_2016_12_01_13_32_43_457.jpg,data/IMG/right_2016_12_01_13_32_43_457.jpg,0.0617599,0.9855326,0,2.124567
data/IMG/center_2016_12_01_13_32_43_558.jpg,data/IMG/left_2016_12_01_13_32_43_558.jpg,data/IMG/right_2016_12_01_13_32_43_558.jpg,0.05219137,0.9855326,0,3.286475
data/IMG/center_2016_12_01_13_32_43_659.jpg,data/IMG/left_2016_12_01_13_32_43_659.jpg,data/IMG/right_2016_12_01_13_32_43_659.jpg,0.05219137,0.9855326,0,4.440864
data/IMG/center_2016_12_01_13_32_43_761.jpg,data/IMG/left_2016_12_01_13_32_43_761.jpg,data/IMG/right_2016_12_01_13_32_43_761.jpg,0.3679529,0.9855326,0,5.565724
data/IMG/center_2016_12_01_13_32_43_862.jpg,data/IMG/left_2016_12_01_13_32_43_862.jpg,data/IMG/right_2016_12_01_13_32_43_862.jpg,0.5784606,0.9855326,0,6.626935
data/IMG/center_2016_12_01_13_32_43_963.jpg,data/IMG/left_2016_12_01_13_32_43_963.jpg,data/IMG/right_2016_12_01_13_32_43_963.jpg,0.5784606,0.9855326,0,7.730138
data/IMG/center_2016_12_01_13_32_44_064.jpg,data/IMG/left_2016_12_01_13_32_44_064.jpg,data/IMG/right_2016_12_01_13_32_44_064.jpg,0.1670138,0.9855326,0,8.83677
data/IMG/center_2016_12_01_13_32_45_275.jpg,data/IMG/left_2016_12_01_13_32_45_275.jpg,data/IMG/right_2016_12_01_13_32_45_275.jpg,0.08089697,0.9855326,0,21.52514
data/IMG/center_2016_12_01_13_32_45_377.jpg,data/IMG/left_2016_12_01_13_32_45_377.jpg,data/IMG/right_2016_12_01_13_32_45_377.jpg,0.0904655,0.9855326,0,22.49719
data/IMG/center_2016_12_01_13_32_45_477.jpg,data/IMG/left_2016_12_01_13_32_45_477.jpg,data/IMG/right_2016_12_01_13_32_45_477.jpg,0.0904655,0.9855326,0,23.45835
data/IMG/center_2016_12_01_13_32_45_578.jpg,data/IMG/left_2016_12_01_13_32_45_578.jpg,data/IMG/right_2016_12_01_13_32_45_578.jpg,0.1574452,0.9855326,0,24.40969
data/IMG/center_2016_12_01_13_32_45_679.jpg,data/IMG/left_2016_12_01_13_32_45_679.jpg,data/IMG/right_2016_12_01_13_32_45_679.jpg,0.1765823,0.9855326,0,25.34023
data/IMG/center_2016_12_01_13_32_45_780.jpg,data/IMG/left_2016_12_01_13_32_45_780.jpg,data/IMG/right_2016_12_01_13_32_45_780.jpg,0.1765823,0.9855326,0,26.26871
data/IMG/center_2016_12_01_13_32_46_185.jpg,data/IMG/left_2016_12_01_13_32_46_185.jpg,data/IMG/right_2016_12_01_13_32_46_185.jpg,-0.0787459,0.9855326,0,29.91009
data/IMG/center_2016_12_01_13_32_46_285.jpg,data/IMG/left_2016_12_01_13_32_46_285.jpg,data/IMG/right_2016_12_01_13_32_46_285.jpg,-0.0787459,0.9855326,0,30.18595
data/IMG/center_2016_12_01_13_32_46_385.jpg,data/IMG/left_2016_12_01_13_32_46_385.jpg,data/IMG/right_2016_12_01_13_32_46_385.jpg,-0.0787459,0.9855326,0,30.18617
data/IMG/center_2016_12_01_13_32_46_486.jpg,data/IMG/left_2016_12_01_13_32_46_486.jpg,data/IMG/right_2016_12_01_13_32_46_486.jpg,-0.0787459,0.9855326,0,30.18633
data/IMG/center_2016_12_01_13_32_46_991.jpg,data/IMG/left_2016_12_01_13_32_46_991.jpg,data/IMG/right_2016_12_01_13_32_46_991.jpg,0.05219137,0.9855326,0,30.18593
data/IMG/center_2016_12_01_13_32_47_091.jpg,data/IMG/left_2016_12_01_13_32_47_091.jpg,data/IMG/right_2016_12_01_13_32_47_091.jpg,0.05219137,0.9855326,0,30.18629
data/IMG/center_2016_12_01_13_32_47_192.jpg,data/IMG/left_2016_12_01_13_32_47_192.jpg,data/IMG/right_2016_12_01_13_32_47_192.jpg,0.0904655,0.9855326,0,30.08726
data/IMG/center_2016_12_01_13_32_47_293.jpg,data/IMG/left_2016_12_01_13_32_47_293.jpg,data/IMG/right_2016_12_01_13_32_47_293.jpg,0.38709,0.9855326,0,30.18586
data/IMG/center_2016_12_01_13_32_47_394.jpg,data/IMG/left_2016_12_01_13_32_47_394.jpg,data/IMG/right_2016_12_01_13_32_47_394.jpg,0.3583844,0.9855326,0,30.0653
data/IMG/center_2016_12_01_13_32_47_495.jpg,data/IMG/left_2016_12_01_13_32_47_495.jpg,data/IMG/right_2016_12_01_13_32_47_495.jpg,0.05219137,0.9855326,0,30.20486
data/IMG/center_2016_12_01_13_32_48_200.jpg,data/IMG/left_2016_12_01_13_32_48_200.jpg,data/IMG/right_2016_12_01_13_32_48_200.jpg,-0.05975719,0.9855326,0,30.1865
