center,left,right,steering,throttle,brake,speed
DATAmine/IMG/center_2017_02_04_20_52_53_832.jpg,,,-0.06666667,1,0,4.693903
DATAmine/IMG/center_2017_02_04_20_52_53_916.jpg,,,-0.1666667,1,0,5.847284
DATAmine/IMG/center_2017_02_04_20_52_53_985.jpg,,,-0.1666667,1,0,6.536289
DATAmine/IMG/center_2017_02_04_20_52_54_070.jpg,,,-0.1666667,1,0,7.449237
DATAmine/IMG/center_2017_02_04_20_52_54_148.jpg,,,-0.1666667,1,0,8.355247
DATAmine/IMG/center_2017_02_04_20_52_54_215.jpg,,,-0.1666667,1,0,9.254226
DATAmine/IMG/center_2017_02_04_20_52_54_282.jpg,,,-0.1666667,1,0,9.923837
DATAmine/IMG/center_2017_02_04_20_52_54_352.jpg,,,-0.1666667,1,0,10.58948
DATAmine/IMG/center_2017_02_04_20_52_54_425.jpg,,,-0.1666667,1,0,11.56973
DATAmine/IMG/center_2017_02_04_20_52_54_495.jpg,,,-0.1666667,1,0,12.38736
DATAmine/IMG/center_2017_02_04_20_52_54_566.jpg,,,-0.1666667,1,0,13.02579
DATAmine/IMG/center_2017_02_04_20_52_54_636.jpg,,,-0.1666667,1,0,13.73311
DATAmine/IMG/center_2017_02_04_20_52_54_720.jpg,,,-0.1666667,1,0,14.54934
DATAmine/IMG/center_2017_02_04_20_52_54_793.jpg,,,-0.1666667,1,0,15.45544
DATAmine/IMG/center_2017_02_04_20_52_54_872.jpg,,,-0.1666667,1,0,16.3019
DATAmine/IMG/center_2017_02_04_20_52_54_949.jpg,,,-0.1666667,1,0,17.13627
DATAmine/IMG/center_2017_02_04_20_52_55_016.jpg,,,-0.1666667,1,0,17.95674
DATAmine/IMG/center_2017_02_04_20_52_55_084.jpg,,,-0.1666667,1,0,18.39714
DATAmine/IMG/center_2017_02_04_20_52_55_162.jpg,,,-0.1666667,1,0,19.23346
DATAmine/IMG/center_2017_02_04_20_52_55_415.jpg,,,-0.1666667,1,0,21.69512
DATAmine/IMG/center_2017_02_04_20_52_55_486.jpg,,,-0.1666667,1,0,22.49886
